date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-12-10 23:44:36,environewsng,,0,1,2,"Conservationists draft fresh action plan to save threatened Cross River gorillas https://www.environewsnigeria.com/conservationists-draft-fresh-action-plan-to-save-threatened-cross-river-gorillas/ …pic.twitter.com/jmAaGvnuyj",,,,1204547494962696193,https://twitter.com/environewsng/status/1204547494962696193
2019-12-10 22:51:16,iam_dremmel,,0,0,0,"The rights of every man are diminished when the rights of one man is threatened. #WorldHumanRightsDay2019 #InternationalHumanRightsDay2019pic.twitter.com/6B5r6YmpnY",,,#WorldHumanRightsDay2019 #InternationalHumanRightsDay2019pic,1204534070581112833,https://twitter.com/iam_dremmel/status/1204534070581112833
2019-12-10 22:37:02,OyindaOlari,Duroarts_,1,0,0,"you threatened me on ig, now you’ve come to taunt me here. If I speak now... carry on sha.",,,,1204530491103289346,https://twitter.com/OyindaOlari/status/1204530491103289346
2019-12-10 22:31:54,KingFeolaOlola,waleofblanco,1,0,2,"Odoi really threatened us, put in a transfer request, got a better wage, then started to play nonsense",,,,1204529199052132353,https://twitter.com/KingFeolaOlola/status/1204529199052132353
2019-12-10 20:00:17,emekabk21,KatrinaPierson,0,0,0,"Pelosi, Nadler and Schiff are either insane or satanically wicked.why are they defending Hunter and Joe Biden? Joe Biden threatened to withhold approved aides in exchange for the firing of an official of Ukraine. That is what quid pro quo is ..that is abuse of power .",,,,1204491042873102336,https://twitter.com/emekabk21/status/1204491042873102336
2019-12-10 19:00:46,actionhealthinc,,0,1,1,"“The rights of every man are diminished when the rights of one man are threatened.” ― John F. Kennedy #HumanRightsDaypic.twitter.com/kbLJpeI8Pp",,,#HumanRightsDaypic,1204476063704850435,https://twitter.com/actionhealthinc/status/1204476063704850435
2019-12-10 18:24:38,AriHaws,MyNameIs_Morgan,1,0,1,"All of these things are just confirming my theory that I have gone my whole life undiagnosed with adhd my parents threatened to put me on medication but I said no",,,,1204466970420240385,https://twitter.com/AriHaws/status/1204466970420240385
2019-12-10 18:07:44,mikethomaswire1,jimsciutto,1,4,48,"""Pressure"" would have included physical threats too. Trump's a mobster. Threats and payoffs are his MO. It's likely Trump threatened Gates' family as well as the families of anyone w/ info (through buffers, of course). To quote Willie Cicci, ""The family had a lot of buffers.""",,,,1204462718104883200,https://twitter.com/mikethomaswire1/status/1204462718104883200
2019-12-10 16:48:29,CatherineOreko1,thoeluh,1,0,0,"I feel so threatened that you replied this",,,,1204442775716081664,https://twitter.com/CatherineOreko1/status/1204442775716081664
2019-12-10 16:42:54,Borificent,Sodjee,1,0,0,"Lool.....only ssce??? From primary school.... My uncles threatened me with fan belt..... I go turn young mechanic if I no carry first.....",,,,1204441369789501440,https://twitter.com/Borificent/status/1204441369789501440
2019-12-10 16:40:03,sama_on_point,EMIOLAWALEOLA,1,0,0,"Lee Kuan Yew (LKY) is a leader I adore so much. He used legal actions to tackle FALSEHOOD. Some months back, PYO threatened to commence legal action against a media outlet. The culprits retracted & apologised. In the West, do folks get away with falsehood disguised as activism?",,,,1204440652777439232,https://twitter.com/sama_on_point/status/1204440652777439232
2019-12-10 16:38:59,sama_on_point,EMIOLAWALEOLA,0,0,2,"Lee Kuan Yew (LKY) is a leader I adore so much. He used legal actions to tackle FALSEHOOD. Some months back, PYO threatened to commence legal action against a media outlet. The culprits retracted & apologised. In the West, do folks get away with falsehood disguised as activism? https://twitter.com/EMIOLAWALEOLA/status/1204434609171238914 …",,,,1204440381565353985,https://twitter.com/sama_on_point/status/1204440381565353985
2019-12-10 16:29:40,MrSEPTIN911,,0,0,0,"While December is packed with loads of musical shows of different entertainers, ‘Teni Live in Concert’ seems to be threatened by... Teni Fears Cardi B, Small Doctor, Mayorkun, As Singer Goes Physical On Lagos Main Road || Read @http://opr.news/s1799e252191204en_ng …",,@http,,1204438038971060224,https://twitter.com/MrSEPTIN911/status/1204438038971060224
2019-12-10 16:27:54,Neusroom,,1,0,0,"The group threatened to carry out massive attacks on military formations in a video dated December 8, where some masked members of the group executed three hostages. The victims were reportedly two soldiers and a policeman who were abducted at a fake checkpoint in Maiduguri.",,,,1204437595532546049,https://twitter.com/Neusroom/status/1204437595532546049
2019-12-10 16:11:44,TosinOlugbenga,,2,0,5,"The rights of every man are diminished when the rights of one man are threatened. - John F. Kennedy #WorldHumanRightsDay2019pic.twitter.com/GS5DZGk3iy",,,#WorldHumanRightsDay2019pic,1204433523945476096,https://twitter.com/TosinOlugbenga/status/1204433523945476096
2019-12-10 15:48:23,toroskie,lordludar,1,0,0,"Stupid yarns!! What did the so-called Presidency do when Arewa youths threatened the peace of the country? Amongst other revolutions promised by other groups. This’s the same ‘neutral’ handle dt tweeted on behalf of APC the other day. And u want me to believe this bullocks? LOL",,,,1204427650292428803,https://twitter.com/toroskie/status/1204427650292428803
2019-12-10 15:27:20,Worldstagegroup,,0,0,0,"The Imo State Government has threatened to sanction any government health worker found charging fees for HIV services in the state. #HIV/AIDS https://www.worldstagegroup.com/imo-govt-to-sanction-health-worker-charging-fees-for-hiv-services/ …pic.twitter.com/oTJKAYuG6e",,,#HIV,1204422353566027776,https://twitter.com/Worldstagegroup/status/1204422353566027776
2019-12-10 15:05:21,propelgradng,,0,3,5,"""The rights of every man is diminished when the right of one man is threatened"". - John. F. Kennedy. #TerrificTuesday #EmployabilitySkills #internationalhumanrightsday #HumanRights #Humanitypic.twitter.com/ZSzlcqh7Uf – at Dolphin Estate,Ikoyi",,,#TerrificTuesday #EmployabilitySkills #internationalhumanrightsday #HumanRights #Humanitypic,1204416819919900672,https://twitter.com/propelgradng/status/1204416819919900672
2019-12-10 14:35:58,najeem175,AtedoPeterside,0,0,0,"You can equally try what he threatened and see how the whole world will idolise you. https://twitter.com/AtedoPeterside/status/1203016293147971584 …",,,,1204409423571013632,https://twitter.com/najeem175/status/1204409423571013632
2019-12-10 13:57:23,metroandcastle,,0,0,0,"""The rights of every man is diminished when the right of one man is threatened"". - John. F. Kennedy. We celebrate #HumanRightsDay2019 with the rest of the world. #TerrificTuesday #EmployabilitySkills #internationalhumanrightsday #HumanRights #Humanitypic.twitter.com/sq1DZNFQSC",,,#HumanRightsDay2019 #TerrificTuesday #EmployabilitySkills #internationalhumanrightsday #HumanRights #Humanitypic,1204399713765736448,https://twitter.com/metroandcastle/status/1204399713765736448
2019-12-10 13:54:48,metroandcastle,,0,0,1,"""The rights of every man is diminished when the right of one man is threatened"". - John. F. Kennedy. #TerrificTuesday #EmployabilitySkills #internationalhumanrightsday #HumanRights #Humanity @… https://www.instagram.com/p/B55PJGkAg6G/?igshid=eg4z5rmyyenb …",,@,#TerrificTuesday #EmployabilitySkills #internationalhumanrightsday #HumanRights #Humanity,1204399065900953601,https://twitter.com/metroandcastle/status/1204399065900953601
