date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-12-10 18:15:47,lagosboygang,nosaalways,0,0,0,"How can you claim to be woke and not see that religion was a tool of colonization. The same countries that extorted, exploited, deposed, imposed, stole from whole continents while giving religion. They can't do that no more, so now they put ropes on your neck with Hollywood",,,,1204464745492992001,https://twitter.com/lagosboygang/status/1204464745492992001
2019-12-10 15:40:50,emekan88,,0,0,0,"NBA aspirants are being extorted by branches. This must stop - Femi Falana @ChidiOdinkalu @naijama @NigBarAssoc @onyekaubani @PoliceNG @nbalagosbranch #nbalagosrightssummit #HumanRightDay #HumanRightsDay2019 #HumanRightsDefenders",,@ChidiOdinkalu @naijama @NigBarAssoc @onyekaubani @PoliceNG @nbalagosbranch,#nbalagosrightssummit #HumanRightDay #HumanRightsDay2019 #HumanRightsDefenders,1204425748221714432,https://twitter.com/emekan88/status/1204425748221714432
2019-12-10 12:31:50,derekovic,,0,0,0,"Hundreds of people trooping into their quarters being extorted of thousands of naira without receipts or any evidence of payment no ID card what so ever! @segalink @jidesanwoolu @instablog9ja",,@segalink @jidesanwoolu @instablog9ja,,1204378187540643840,https://twitter.com/derekovic/status/1204378187540643840
2019-12-10 11:57:13,derekovic,,0,0,0,"Please guys, who knows Ojodu LCDA @jidesanwoolu they have extorted me of 1500 and saying I should pay 55,000 unrecipted for no reason",,@jidesanwoolu,,1204369475837005825,https://twitter.com/derekovic/status/1204369475837005825
2019-12-10 08:09:08,ayo_tula,,0,0,0,"@followlastma @followlasg please investigate this and get this guy sanctioned. @Gidi_Traffic please retweet. We cannot pay tax and yet get extorted again. It just doesn't make sense at all.",,@followlastma @followlasg @Gidi_Traffic,,1204312076866523136,https://twitter.com/ayo_tula/status/1204312076866523136
2019-12-10 08:07:59,ayo_tula,,1,0,0,"@followlasg @followlastma Fanandez Akinola arrests cars indiscriminately, extorts them under the pretext that their car will be impounded and forfeited. Tweet below was last week. I came into the country and was briefed that he muscled my cousin and extorted them. @Gidi_Traffic https://twitter.com/ayo_tula/status/1202869535969304576 …pic.twitter.com/jIsqXIMZvA",,@followlasg @followlastma @Gidi_Traffic,,1204311786184466433,https://twitter.com/ayo_tula/status/1204311786184466433
2019-12-09 21:17:10,dma3957,PopPopDevOps,1,0,0,"An obvious lie. Biden was executing official US policy in Ukraine. Trump was going against official US policy to BENEFIT HIMSELF. There's no denying trump extorted ukraine, and republicans seem fine with it as long as they benefit. Anyone who supports this is unamerican",,,,1204148003361173507,https://twitter.com/dma3957/status/1204148003361173507
2019-12-09 12:58:47,SamuelMbagwu,,1,3,10,"Dear Investigative Journalists, Could you help us unmask the beneficiaries of the money extorted by the Nigerian Police officers on duty. Who do they remit the returns to? Thank you, and wishing you God's protection as you carry out your job!",,,,1204022580484685824,https://twitter.com/SamuelMbagwu/status/1204022580484685824
2019-12-09 08:01:55,mrskelz2,,2,2,2,"One experience I had on Saturday with so-called SARS,had nothing they were looking for but was extorted #20,000..modafuckas",,,#20,1203947870384218117,https://twitter.com/mrskelz2/status/1203947870384218117
2019-12-07 13:28:01,TheMichaelMoran,,1,8,29,"Yes, 'Get Brexit Done' is an anagram of 'Being Extorted,' but it also rearranges nicely into 'Bigot Extender' #GETBREXITDONE",,,#GETBREXITDONE,1203305159549427712,https://twitter.com/TheMichaelMoran/status/1203305159549427712
2019-12-06 12:48:47,Salemtunrijoy,,2,0,1,"My hazard light was on, they were not in uniform neither do they id card. I I believed I was extorted and oppressed because there was no sign or indication that it was illegal entry. I was even taken to atm to make withdrawals, this robbery at gun point",,,,1202932900104159232,https://twitter.com/Salemtunrijoy/status/1202932900104159232
2019-12-05 23:20:09,LordAluko,DStvNg,0,0,1,"These dstv guys are thieves from Southern part of Africa. Nigerians are extorted everyday, but been extorted by foreigners in our country is an affront",,,,1202729400640430080,https://twitter.com/LordAluko/status/1202729400640430080
